"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","03/30/2011","10:55:48","","Page /api/sync.cfc [/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/api/sync.cfc] not found"
"ERROR","web-0","03/30/2011","10:55:54","","Page /api/sync.cfc [/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/api/sync.cfc] not found"
"ERROR","web-0","03/30/2011","10:56:00","","Page /api/sync.cfc [/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/api/sync.cfc] not found"
"ERROR","web-0","03/30/2011","10:56:06","","Page /api/sync.cfc [/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/api/sync.cfc] not found"
"ERROR","web-0","03/30/2011","10:56:13","","Page /api/sync.cfc [/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/api/sync.cfc] not found"
"ERROR","web-0","03/30/2011","10:56:18","","Page /api/sync.cfc [/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/api/sync.cfc] not found"
"ERROR","web-0","03/30/2011","10:56:24","","Page /api/sync.cfc [/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/api/sync.cfc] not found"
"ERROR","web-0","03/31/2011","12:55:56","","invalid component definition, can't find coldbox.system.Coldbox"
"ERROR","web-0","03/31/2011","12:57:31","","request (path: /Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/index.cfm (/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/includes/panels/CacheCharting.cfm):1) is run into a timeout (50 seconds) and has been stopped. no open locks"
"ERROR","web-0","03/31/2011","17:14:00","","Error including config file: Error loading module routes as the module requested 'forgebox' is not loaded. The loaded modules are: ; [{line={400}, raw_trace={coldbox.system.frameworksupertype_cfc$cf.udfCall4(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/FrameworkSupertype.cfc:400)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/FrameworkSupertype.cfc}, codePrintPlain={398: 		<cfargument name=""detail"" 	type=""string"" 	required=""no"" default="""">
399: 		<cfargument name=""type""  	type=""string"" 	required=""no"" default=""Framework"">
400: 		<cfthrow type=""#arguments.type#"" message=""#arguments.message#""  detail=""#arguments.detail#"">
401: 	</cffunction>
402: 	
}, codePrintHTML={398: 		&lt;cfargument name=&quot;detail&quot; 	type=&quot;string&quot; 	required=&quot;no&quot; default=&quot;&quot;&gt;<br>
399: 		&lt;cfargument name=&quot;type&quot;  	type=&quot;string&quot; 	required=&quot;no&quot; default=&quot;Framework&quot;&gt;<br>
<b>400: 		&lt;cfthrow type=&quot;#arguments.type#&quot; message=&quot;#arguments.message#&quot;  detail=&quot;#arguments.detail#&quot;&gt;</b><br>
401: 	&lt;/cffunction&gt;<br>
402: 	<br>
}, id={??}}, {line={179}, raw_trace={coldbox.system.interceptors.ses_cfc$cf.udfCall1(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/interceptors/SES.cfc:179)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/interceptors/SES.cfc}, codePrintPlain={177: 				$throw(message=""Error loading module routes as the module requested '#arguments.module#' is not loaded."",
178: 					   detail=""The loaded modules are: #structKeyList(mConfig)#"",
179: 					   type=""SES.InvalidModuleName"");
180: 			}
181: 
}, codePrintHTML={177: 				$throw(message=&quot;Error loading module routes as the module requested '#arguments.module#' is not loaded.&quot;,<br>
178: 					   detail=&quot;The loaded modules are: #structKeyList(mConfig)#&quot;,<br>
<b>179: 					   type=&quot;SES.InvalidModuleName&quot;);</b><br>
180: 			}<br>
181: <br>
}, id={??}}, {line={22}, raw_trace={config.routes_cfm$cf.call(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/config/Routes.cfm:22)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/config/Routes.cfm}, codePrintPlain={20: 	
21: 	// Add Module Routing Here
22: 	addModuleRoutes(pattern=""/forgebox"",module=""forgebox"");
23: 	
24: 	// Your Application Routes
}, codePrintHTML={20: 	<br>
21: 	// Add Module Routing Here<br>
<b>22: 	addModuleRoutes(pattern=&quot;/forgebox&quot;,module=&quot;forgebox&quot;);</b><br>
23: 	<br>
24: 	// Your Application Routes<br>
}, id={??}}, {line={424}, raw_trace={coldbox.system.frameworksupertype_cfc$cf.udfCall4(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/FrameworkSupertype.cfc:424)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/FrameworkSupertype.cfc}, codePrintPlain={422: 	<!--- Include Facade --->
423: 	<cffunction name=""$include"" access=""public"" hint=""Facade for cfinclude"" returntype=""void"" output=""true"">
424: 		<cfargument name=""template"" type=""string""><cfinclude template=""#arguments.template#"">
425: 	</cffunction>
426: 
}, codePrintHTML={422: 	&lt;!--- Include Facade ---&gt;<br>
423: 	&lt;cffunction name=&quot;$include&quot; access=&quot;public&quot; hint=&quot;Facade for cfinclude&quot; returntype=&quot;void&quot; output=&quot;true&quot;&gt;<br>
<b>424: 		&lt;cfargument name=&quot;template&quot; type=&quot;string&quot;&gt;&lt;cfinclude template=&quot;#arguments.template#&quot;&gt;</b><br>
425: 	&lt;/cffunction&gt;<br>
426: <br>
}, id={??}}, {line={1047}, raw_trace={coldbox.system.interceptors.ses_cfc$cf.udfCall4(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/interceptors/SES.cfc:1047)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/interceptors/SES.cfc}, codePrintPlain={1045: 			// We are ready to roll. Import config to setup the routes.
1046: 			try{
1047: 				$include(configFilePath);
1048: 			}
1049: 			catch(Any e){
}, codePrintHTML={1045: 			// We are ready to roll. Import config to setup the routes.<br>
1046: 			try{<br>
<b>1047: 				$include(configFilePath);</b><br>
1048: 			}<br>
1049: 			catch(Any e){<br>
}, id={??}}, {line={58}, raw_trace={coldbox.system.interceptors.ses_cfc$cf.udfCall1(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/interceptors/SES.cfc:58)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/interceptors/SES.cfc}, codePrintPlain={56: 
57: 			//Import Configuration
58: 			importConfiguration();
59: 			
60: 			// Save the base URL in the application settings
}, codePrintHTML={56: <br>
57: 			//Import Configuration<br>
<b>58: 			importConfiguration();</b><br>
59: 			<br>
60: 			// Save the base URL in the application settings<br>
}, id={??}}, {line={169}, raw_trace={coldbox.system.web.services.interceptorservice_cfc$cf.udfCall1(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/web/services/InterceptorService.cfc:169)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/web/services/InterceptorService.cfc}, codePrintPlain={167: 					
168: 					// Configure the Interceptor
169: 					oInterceptor.configure();
170: 					
171: 					// Cache The Interceptor for quick references
}, codePrintHTML={167: 					<br>
168: 					// Configure the Interceptor<br>
<b>169: 					oInterceptor.configure();</b><br>
170: 					<br>
171: 					// Cache The Interceptor for quick references<br>
}, id={??}}, {line={82}, raw_trace={coldbox.system.web.services.interceptorservice_cfc$cf.udfCall1(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/web/services/InterceptorService.cfc:82)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/web/services/InterceptorService.cfc}, codePrintPlain={80: 				registerInterceptor(interceptorClass=instance.interceptorConfig.interceptors[x].class,
81: 									interceptorProperties=instance.interceptorConfig.interceptors[x].properties,
82: 									interceptorName=instance.interceptorConfig.interceptors[x].name);				
83: 			}		
84: 		</cfscript>
}, codePrintHTML={80: 				registerInterceptor(interceptorClass=instance.interceptorConfig.interceptors[x].class,<br>
81: 									interceptorProperties=instance.interceptorConfig.interceptors[x].properties,<br>
<b>82: 									interceptorName=instance.interceptorConfig.interceptors[x].name);				</b><br>
83: 			}		<br>
84: 		&lt;/cfscript&gt;<br>
}, id={??}}, {line={58}, raw_trace={coldbox.system.web.services.interceptorservice_cfc$cf.udfCall1(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/web/services/InterceptorService.cfc:58)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/web/services/InterceptorService.cfc}, codePrintPlain={56: 			}
57:     		// Register The Interceptors
58: 			registerInterceptors();
59:     	</cfscript>
60:     </cffunction>
}, codePrintHTML={56: 			}<br>
57:     		// Register The Interceptors<br>
<b>58: 			registerInterceptors();</b><br>
59:     	&lt;/cfscript&gt;<br>
60:     &lt;/cffunction&gt;<br>
}, id={??}}, {line={161}, raw_trace={coldbox.system.web.services.loaderservice_cfc$cf.udfCall1(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/web/services/LoaderService.cfc:161)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/web/services/LoaderService.cfc}, codePrintPlain={159: 				oInjector = createObject(""component"",""coldbox.system.ioc.Injector"").init(wireboxData.binderPath,controller.getConfigSettings(), controller);
160: 				controller.setWireBox( oInjector );
161: 			}
162:     	</cfscript>
163:     </cffunction>
}, codePrintHTML={159: 				oInjector = createObject(&quot;component&quot;,&quot;coldbox.system.ioc.Injector&quot;).init(wireboxData.binderPath,controller.getConfigSettings(), controller);<br>
160: 				controller.setWireBox( oInjector );<br>
<b>161: 			}</b><br>
162:     	&lt;/cfscript&gt;<br>
163:     &lt;/cffunction&gt;<br>
}, id={??}}, {line={71}, raw_trace={coldbox.system.coldbox_cfc$cf.udfCall1(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/Coldbox.cfc:71)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/coldbox/system/Coldbox.cfc}, codePrintPlain={69: 			application[appKey] = CreateObject(""component"",""coldbox.system.web.Controller"").init(COLDBOX_APP_ROOT_PATH);
70: 			// Setup the Framework And Application
71: 			application[appKey].getLoaderService().loadApplication(COLDBOX_CONFIG_FILE,COLDBOX_APP_MAPPING);		
72: 			// Application Start Handler
73: 			if ( len(application[appKey].getSetting(""ApplicationStartHandler"")) ){
}, codePrintHTML={69: 			application[appKey] = CreateObject(&quot;component&quot;,&quot;coldbox.system.web.Controller&quot;).init(COLDBOX_APP_ROOT_PATH);<br>
70: 			// Setup the Framework And Application<br>
<b>71: 			application[appKey].getLoaderService().loadApplication(COLDBOX_CONFIG_FILE,COLDBOX_APP_MAPPING);		</b><br>
72: 			// Application Start Handler<br>
73: 			if ( len(application[appKey].getSetting(&quot;ApplicationStartHandler&quot;)) ){<br>
}, id={??}}, {line={38}, raw_trace={application_cfc$cf.udfCall(/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/Application.cfc:38)}, column={0}, type={cfml}, template={/Users/markdrew/Dropbox/Projects/railo/cloudbees/markdrew_railo/webapp/Application.cfc}, codePrintPlain={36: 		<cfscript>
37: 			//Load ColdBox
38: 			loadColdBox();
39: 			return true;
40: 		</cfscript>
}, codePrintHTML={36: 		&lt;cfscript&gt;<br>
37: 			//Load ColdBox<br>
<b>38: 			loadColdBox();</b><br>
39: 			return true;<br>
40: 		&lt;/cfscript&gt;<br>
}, id={??}}]"
