"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","04/01/2011","18:53:09","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","18:53:28","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","18:54:20","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","18:54:30","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","18:54:33","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","18:54:33","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","18:54:34","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","18:59:05","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","19:00:08","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","19:00:10","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","19:01:03","org.hibernate.util.JDBCExceptionReporter","Table 'railo_docs_examples.examples' doesn't exist"
"ERROR","web-0","04/01/2011","21:58:09","org.hibernate.util.JDBCExceptionReporter","Table EXAMPLES not found [42S02-12]"
"ERROR","web-0","04/01/2011","21:58:42","org.hibernate.util.JDBCExceptionReporter","Table EXAMPLES not found [42S02-12]"
"ERROR","web-0","04/01/2011","21:59:51","org.hibernate.util.JDBCExceptionReporter","Table EXAMPLES not found [42S02-12]"
"ERROR","web-0","04/01/2011","21:59:53","org.hibernate.util.JDBCExceptionReporter","Table EXAMPLES not found [42S02-12]"
"ERROR","web-0","04/01/2011","21:59:55","org.hibernate.util.JDBCExceptionReporter","Table EXAMPLES not found [42S02-12]"
"ERROR","web-0","04/01/2011","22:01:05","org.hibernate.util.JDBCExceptionReporter","Table EXAMPLES not found [42S02-12]"
"ERROR","web-0","04/02/2011","15:27:08","org.hibernate.util.JDBCExceptionReporter",""
"ERROR","web-0","04/02/2011","15:28:39","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:28:42","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:28:54","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:28:55","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:29:02","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:29:03","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:29:31","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:29:32","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:29:32","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:29:54","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:29:58","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:30:46","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:30:54","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/02/2011","15:31:32","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.items' doesn't exist"
"ERROR","web-0","04/06/2011","14:06:19","org.hibernate.hql.PARSER","line 1:35: unexpected token: %"
"ERROR","web-0","04/06/2011","14:06:19","org.hibernate.hql.PARSER","line 1:38: unexpected token: %"
"ERROR","web-0","04/06/2011","14:29:23","org.hibernate.util.JDBCExceptionReporter","Field 'item' doesn't have a default value"
"ERROR","web-0","04/06/2011","14:29:58","org.hibernate.util.JDBCExceptionReporter","Field 'item' doesn't have a default value"
"ERROR","web-0","04/06/2011","14:30:21","org.hibernate.util.JDBCExceptionReporter","Field 'item' doesn't have a default value"
"ERROR","web-0","04/06/2011","14:31:12","org.hibernate.util.JDBCExceptionReporter","Field 'item' doesn't have a default value"
"ERROR","web-0","04/06/2011","14:31:27","org.hibernate.util.JDBCExceptionReporter","Field 'item' doesn't have a default value"
"ERROR","web-0","04/06/2011","14:31:43","org.hibernate.util.JDBCExceptionReporter","Field 'item' doesn't have a default value"
"ERROR","web-0","04/06/2011","14:31:55","org.hibernate.util.JDBCExceptionReporter","Field 'item' doesn't have a default value"
"ERROR","web-0","04/06/2011","14:32:45","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.item_categories' doesn't exist"
"ERROR","web-0","04/06/2011","15:21:36","org.hibernate.util.JDBCExceptionReporter","Field 'id' doesn't have a default value"
"ERROR","web-0","04/06/2011","15:22:38","org.hibernate.util.JDBCExceptionReporter","Field 'id' doesn't have a default value"
"ERROR","web-0","04/06/2011","15:22:58","org.hibernate.util.JDBCExceptionReporter","Table 'railo_quick_docs.categories' doesn't exist"
